csn,Scenario,Choice_,RECRE,PRICE,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
101,1,0,2,5,1,0,1,4,26,0,2,1,1,0,0,0,0,0,0,1,0,9
101,2,1,1,3,1,0,1,4,26,0,2,1,1,0,1,1,0,0,1,0,0,9
101,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
102,1,1,1,3,1,0,1,4,26,0,2,1,1,1,0,0,0,1,0,0,0,9
102,2,0,2,5,1,0,1,4,26,0,2,1,1,0,1,0,1,0,1,0,0,9
102,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
103,1,0,1,4,1,0,1,4,26,0,2,1,1,0,0,0,0,1,0,1,0,9
103,2,1,3,2,1,0,1,4,26,0,2,1,1,1,0,1,0,0,0,1,0,9
103,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
104,1,0,1,4,1,0,1,4,26,0,2,1,1,0,1,0,1,1,0,0,0,9
104,2,1,2,1,1,0,1,4,26,0,2,1,1,0,0,0,0,1,0,1,0,9
104,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
105,1,1,3,2,1,0,1,4,26,0,2,1,1,0,0,0,1,0,1,0,1,9
105,2,0,3,6,1,0,1,4,26,0,2,1,1,0,0,1,0,1,0,1,0,9
105,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
106,1,0,3,6,1,0,1,4,26,0,2,1,1,0,1,0,1,0,1,0,0,9
106,2,1,1,3,1,0,1,4,26,0,2,1,1,0,1,0,0,0,1,0,1,9
106,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
107,1,0,3,6,1,0,1,4,26,0,2,1,1,1,0,1,0,0,1,0,1,9
107,2,1,3,2,1,0,1,4,26,0,2,1,1,1,0,0,1,0,0,0,1,9
107,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
108,1,1,2,1,1,0,1,4,26,0,2,1,1,0,1,1,0,0,0,1,0,9
108,2,0,1,4,1,0,1,4,26,0,2,1,1,1,0,0,0,0,0,0,1,9
108,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
118,1,1,2,5,1,0,1,4,25,0,2,1,1,1,0,1,0,0,0,0,1,10
118,2,0,2,1,1,0,1,4,25,0,2,1,1,0,0,0,1,1,0,0,0,10
118,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
119,1,0,2,5,1,0,1,4,25,0,2,1,1,0,0,0,0,0,0,1,0,10
119,2,1,1,3,1,0,1,4,25,0,2,1,1,0,1,1,0,0,1,0,0,10
119,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
120,1,0,1,3,1,0,1,4,25,0,2,1,1,1,0,0,0,1,0,0,0,10
120,2,1,2,5,1,0,1,4,25,0,2,1,1,0,1,0,1,0,1,0,0,10
120,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
121,1,0,1,4,1,0,1,4,25,0,2,1,1,0,0,0,0,1,0,1,0,10
121,2,1,3,2,1,0,1,4,25,0,2,1,1,1,0,1,0,0,0,1,0,10
121,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
122,1,1,1,4,1,0,1,4,25,0,2,1,1,0,1,0,1,1,0,0,0,10
122,2,0,2,1,1,0,1,4,25,0,2,1,1,0,0,0,0,1,0,1,0,10
122,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
123,1,1,3,2,1,0,1,4,25,0,2,1,1,0,0,0,1,0,1,0,1,10
123,2,0,3,6,1,0,1,4,25,0,2,1,1,0,0,1,0,1,0,1,0,10
123,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
124,1,0,3,6,1,0,1,4,25,0,2,1,1,0,1,0,1,0,1,0,0,10
124,2,1,1,3,1,0,1,4,25,0,2,1,1,0,1,0,0,0,1,0,1,10
124,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
125,1,0,3,6,1,0,1,4,25,0,2,1,1,1,0,1,0,0,1,0,1,10
125,2,1,3,2,1,0,1,4,25,0,2,1,1,1,0,0,1,0,0,0,1,10
125,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
126,1,1,2,1,1,0,1,4,25,0,2,1,1,0,1,1,0,0,0,1,0,10
126,2,0,1,4,1,0,1,4,25,0,2,1,1,1,0,0,0,0,0,0,1,10
126,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
136,1,0,2,5,1,0,1,3,30,0,1,1,1,1,0,1,0,0,0,0,1,11
136,2,1,2,1,1,0,1,3,30,0,1,1,1,0,0,0,1,1,0,0,0,11
136,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
137,1,0,2,5,1,0,1,3,30,0,1,1,1,0,0,0,0,0,0,1,0,11
137,2,1,1,3,1,0,1,3,30,0,1,1,1,0,1,1,0,0,1,0,0,11
137,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
138,1,1,1,3,1,0,1,3,30,0,1,1,1,1,0,0,0,1,0,0,0,11
138,2,0,2,5,1,0,1,3,30,0,1,1,1,0,1,0,1,0,1,0,0,11
138,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
139,1,0,1,4,1,0,1,3,30,0,1,1,1,0,0,0,0,1,0,1,0,11
139,2,1,3,2,1,0,1,3,30,0,1,1,1,1,0,1,0,0,0,1,0,11
139,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
140,1,1,1,4,1,0,1,3,30,0,1,1,1,0,1,0,1,1,0,0,0,11
140,2,0,2,1,1,0,1,3,30,0,1,1,1,0,0,0,0,1,0,1,0,11
140,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
141,1,1,3,2,1,0,1,3,30,0,1,1,1,0,0,0,1,0,1,0,1,11
141,2,0,3,6,1,0,1,3,30,0,1,1,1,0,0,1,0,1,0,1,0,11
141,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
142,1,0,3,6,1,0,1,3,30,0,1,1,1,0,1,0,1,0,1,0,0,11
