choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
4,233,78,1816,1223,1491,1470,112,3919,42422,690,609,0,0,1106,0
5,646,78,1816,233,1617,194,112,3919,1470,1259,737,0,0,609,609
2,889,4358,1199,267,1816,480,16200,13735,3670,3919,0,476,0,829,0
1,4358,889,1199,267,2939,16200,480,13735,3670,2361,476,0,0,829,829
3,889,91,4358,1199,267,480,401,16200,13735,3670,1516,512,512,1516,2544
1,4358,91,889,1199,1381,16200,401,480,13735,1629,512,512,1516,1516,3060
5,1934,889,1199,267,4358,23864,480,13735,3670,16200,888,0,0,829,476
5,2939,889,1199,267,4358,2361,480,13735,3670,16200,829,0,0,829,476
3,1622,403,3708,347,889,7598,40,6001,431,480,261,261,173,724,268
3,3708,1622,403,2473,347,6001,7598,40,1131,431,1012,0,0,2496,2100
3,1622,403,3708,2473,4160,7598,40,6001,1131,19515,0,0,350,646,687
2,403,3708,1622,2473,4160,40,6001,7598,1131,19515,0,350,0,646,687
1,2725,946,63,0,3610,3107,236,1050,5333,5189,960,0,1956,1956,1600
3,63,946,2725,0,267,1050,236,3107,5333,3670,651,0,425,651,665
5,946,1730,526,1190,3153,236,15564,3918,1597,6816,0,0,1180,2140,0
3,1188,1730,3153,842,67,3200,15564,6816,956,2329,1592,1248,1248,1628,1628
5,1188,3153,1184,526,1730,3200,6816,228,3918,15564,2492,900,1188,1528,900
3,1184,3153,1730,526,1188,228,6816,15564,3918,3200,1188,900,900,1528,2492
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,1884,0,2200
1,1223,217,1617,233,1816,42422,216,1259,1470,3919,919,0,0,0,609
3,1816,217,1617,233,163,3919,216,1259,1470,1310,1884,0,0,0,2200
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,1884,0,2200
5,233,663,114,274,1841,1470,1195,359,5555,7523,0,0,690,690,690
5,817,995,75,0,1344,1505,1513,3954,281,2562,1396,0,0,1396,0
3,75,995,1344,0,817,3954,1513,2562,281,1505,0,0,0,1396,1396
4,0,1344,75,995,817,281,2562,3954,1513,1505,1396,0,0,0,1396
5,1335,1504,136,1324,671,5049,198,249,2309,1492,1800,1732,3332,1800,0
4,3400,27,1668,2701,666,17619,120,10866,4208,1355,1400,0,0,0,1600
3,1668,27,2701,3400,554,10866,120,4208,17619,2979,0,0,0,1400,2300
3,1668,27,2701,3400,554,10866,120,4208,17619,2979,900,968,900,1300,2600
2,610,4160,262,436,368,47,19515,930,885,3797,0,1046,0,0,588
1,2925,6330,1645,1000,262,4548,11383,7010,665,930,0,0,1200,1200,0
2,6330,2925,1645,1000,3400,11383,4548,7010,665,17619,0,0,1200,1200,1900
2,1184,526,0,231,2063,228,3918,955,2347,3878,527,547,0,739,739
4,1828,1324,1651,1335,231,8660,2309,22007,5049,2347,576,423,423,423,739
4,177,280,1856,2705,1324,907,5127,3751,89841,2309,390,0,0,2054,423
1,2705,1220,1309,2322,280,89841,18568,2066,867,5127,813,0,507,261,0
2,1220,2705,1309,2322,7024,18568,89841,2066,867,12895,0,813,507,261,551
1,1325,2322,1220,36,1309,30295,867,18568,276,2066,785,170,333,572,507
5,1506,322,591,36,2001,632,1712,423,276,4634,2000,0,1708,2296,0
2,215,2304,699,666,322,30,8249,2341,1355,1712,0,687,676,1035,0
1,2952,456,176,625,1424,4534,0,4754,577,1132,0,0,0,1144,2068
5,176,1481,280,1856,177,4754,1372,5127,3751,907,0,0,390,390,0
5,231,1481,280,1856,177,2347,1372,5127,3751,907,649,0,390,390,0
1,803,1345,58,231,177,1587,6319,189,2347,907,0,0,1668,2876,0
1,2925,6330,1645,1000,3400,4548,11383,7010,665,17619,0,0,1200,1200,1900
3,1645,6330,2925,1000,3400,7010,11383,4548,665,17619,1200,0,0,1200,1900
1,3403,1031,135,900,6330,12516,7272,409,5818,11383,1108,1108,2128,3000,0
1,3153,280,1856,177,1031,6816,5127,3751,907,7272,1549,0,0,390,345
4,1481,280,177,1856,686,1372,5127,907,3751,368,390,0,390,0,611
5,959,1789,309,60,1469,5877,8709,2546,26,3123,1928,0,1928,1928,0
5,959,1789,309,60,1469,5877,8709,2546,26,3123,1928,0,1928,1928,0
3,1309,2322,1220,7024,1447,2066,867,18568,12895,2000,2016,812,0,1900,1900
2,1789,1469,130,60,309,8709,3123,324,26,2546,537,537,911,1038,1038
2,1789,1469,309,60,959,8709,3123,2546,26,5877,0,0,1928,1928,1928
5,1789,4160,3479,1817,2473,8709,19515,27106,1498,1131,0,712,712,2080,0
5,1911,570,294,66,2287,686,3478,1043,1777,1420,584,0,414,584,0
3,0,3479,4160,2473,570,697,27106,19515,1131,3478,700,0,0,712,0
3,3479,4160,2473,1817,1622,27106,19515,1131,1498,7598,0,0,247,369,687
5,1381,85,183,733,2773,1629,0,328,5931,4402,2400,0,0,0,0
5,733,903,2201,413,1192,5931,735,30672,4402,2578,0,0,1000,2880,1000
2,1730,3153,526,1190,1192,15564,6816,3918,1597,2578,0,0,1180,2140,1000
2,1730,3153,526,1190,1463,15564,6816,3918,1597,2508,0,0,1180,2140,2164
5,1190,3153,1730,526,1184,1597,6816,15564,3918,228,699,246,246,347,463
4,526,3153,1730,1184,1190,3918,6816,15564,228,1597,347,246,246,463,412
1,3153,1730,526,1190,1463,6816,15564,3918,1597,2508,724,724,1000,1368,1392
